SKU,Name,Parent Product SKU,Price,Sale Price,Currency,Description,Track Inventory,QTY,Backorder,Hidden
wedding-countdown,Personalized Wedding Countdown Blocks,,$45.00,,USD,"These Personalized Wedding Countdown Blocks are professionally cut, sanded, stained/painted, clear coated and then Personalized with the Groom's Last name in the colors you prefer. Design your own set. The Top Block will have a Heart on one side, a Diamond ring on the other side, The second row is for your days of the year, there is enough for all 365, the 3rd row will say, ""Days until we're"" and the final row will say ""Mr. & Mrs. ______"" Please remember to leave last name requests. After the wedding you can flip the 2 bottom rows to start counting down till the first anniversary, the blocks will then read ""days til our anniversary""",TRUE,90,FALSE,FALSE
WED-TUMB,Personalized Skinny Wedding Tumblers,,$14.00,,USD,These Skinny Tumblers come with lids and straws. They are Personalized with your girls Names & Wedding Roles in the colors you choose and they are topped with a matching bow. Be sure to leave the Names and Wedding Roles in the text box when you purchase.,TRUE,62,FALSE,FALSE
TIE-THE-KNT-BRD,Knot Bridesmaid Proposal Card + Earrings + Necklace,,$15.00,,USD,"These Personalized Tie the Knot Cards make great proposal gifts -OR- Thank You Gifts for your Bridesmaids, Maid of Honor, Jr. Bridesmaids, Matron of Honor, Flower Girls and even the Mother of the Bride and Groom. Each card comes with Knot Earrings and the Matching Knot Necklace. The cards come in Ivory, Blush Pink, Mint Green or Kraft (brown)...You may choose to write your own personalized short message to go on the card or you can choose one of our pre-made phrases in the drop down menu below.",TRUE,22,FALSE,FALSE
THANKYOU-HEART-CUFF,Tie the Knot //Personalized Heart Card + Cuff Bracelet,,$8.00,,USD,"These adorable Tie the Knot Gift Cards and Cuff Bracelets are perfect Thank You Gifts for the Girls in your wedding party. The cuff bracelets are adjustable, NICKEL FREE and come in 3 different finishes for you to choose from: Silver, Gold or Rose Gold. You can also choose  the color of the heart gift card and personalize them with the name of the person you are gifting them to and sign with your own name. You may choose to stick with one of the pre written messages we have to pick from or you can use the text box below to type out your own SHORT sweet note! I cant wait to personalize these cute little gits for you! :) ** Please leave your name, Email, Name & wedding role for each person you are purchasing a card for. I will need this info in order to process. Check for typos as i will be copy and pasting this info. Make sure you don't forget any info as this will cause a delay in processing your order. I will email you a conformation example picture to make sure you LOVE them before I send them out.",TRUE,26,FALSE,FALSE
WDN-WDD-HNG-PRS,Wooden Wedding Hangers // Personalized with Names,,$7.00,,USD,"These hangers are a great gift for anyone in your wedding party. They of course will be used to hang Bridesmaid dresses and Tuxedos but they also a great way to display all the outfits in your professions photos while everyone gets ready, then after the wedding they will be used to store their dresses at home in their own closet, Chose the wood finish you prefer: Natural Wood, Dark Stained Wood, or White painted Wood then choose the color of names and i will top with a matching bow. Please use the text box below to leave your name and email, then type out everyone's name. I will be copy and pasting info so be sure to spell check before you send. I will use your email to contact you with any questions while processing your order, so be sure to keep an eye out for emails after you purchase.",TRUE,39,FALSE,FALSE
PRS-GRN-TT-BAG,Personalized Grandmother Tote Bag,,$13.00,,USD,"Canvas tote bags designed for Grandmothers or you could gift to any Mother.  These are prefect for Mother’s Day gifts, or even birthday and Christmas gifts.  You personalize with the name you call your grandma/mom then add the kids names to the middle",TRUE,33,FALSE,FALSE
MML-TDD-T-SHR,#Momlife #Kidlife T-shirts,,$15.00,,USD,#Momlife #Kidlife T-Shirts This design is so popular right now and I’m a HUGE fan of leopard print so I had to have a pair for me and my “mini” and of course add them to my Mommy & Me Merch.,TRUE,32,FALSE,FALSE
BRD-MKP-BGS,Bridesmaids Makeup Bags,,$7.00,,USD,These bridesmaids makeup bags can be personalized with names & their wedding role. Choose from white make up bags or black .,TRUE,44,FALSE,FALSE
RNN-ON-CFF-DRY,Running on Coffee & Dry Shampoo T-Shirt,,$15.00,,USD,Running on Coffee & Dry Shampoo T-Shirt,TRUE,40,FALSE,FALSE
XN-PRS-GRN-SPL,Personalized Grandmother’s Split Name Sign,,$30.00,,USD,This listing is a for a 18.5” x 5.5” wooden sign personalized with the names of your choice. sign comes in a stained finish or white washed finish.,TRUE,80,FALSE,FALSE
XN-DRK-GDS-PLN,"Drake, God’s Plan Onesie",,$9.00,,USD,This onesie is inspired by Drake’s Song God’s Plan,TRUE,22,FALSE,FALSE
XN-GDS-PLN-BBY,Personalized Pregnancy Announcement Onesie,,$9.00,,USD,"Such a cute way to announce that you’re expecting! This onesie will be 0-3 months & Personalized with last name, month & year of due date.",TRUE,11,FALSE,FALSE
PRS-MR-MRS-SGN,Personalized Mr. & Mrs. Sign,,$35.00,$30.00,USD,This wooden sign is 18” x 5.5” with a white washed finished & Personalized with last name and wedding date.,TRUE,11,FALSE,FALSE
PRS-MKP-BGS,Personalized Makeup Bags,,$7.00,,USD,These makeup bags are 8” x 5” and personalized with a name in the color of your choice. Choose from a white bag or black.,TRUE,44,FALSE,FALSE
PRS-BRD-HNG-WDD,Personalized Bridesmaids Hangers (Wedding Role - Name -Date,,$8.00,,USD,"Dress up your wedding day with these beautiful engraved hangers then gift them to your Bridal party to take home as a memorabilia. Great for bridal gown, bridesmaid/maid of honor dresses, mother of the bride/groom dress, jr. bridesmaid, sister of the bride/groom, or even groom and groomsmen. Each hanger is personalized with Wedding Role to the Left, Name in the center top & Wedding date to the Right in the color you choose then topped with a matching bow. If you choose not to have some of these options on your hangers, please note this in the text box provided for personalization. Place bridesmaid hangers with the bridal wedding dress for an unforgettable picture. ➼ ITEM DETAILS High quality Wooden Hanger with Swivel Hook (choose wood finish in dropdown menu) Hanger Size: 17 1/2 x 6 1/2 x 1/2 ♥ STORE POLICIES ~ Please verify all information before ordering. We assume initials are given as requested above and item will be personalized with information given. NO refunds or exchanges will be given unless there is a gross error on our part. Please message us with any questions about this before ordering. ~ If ALL information is not given when ordered, there will be a delay in processing the order. ~ While we attempt to represent all colors accurately, there can be a slight variation in colors due to individual screen resolution. ♥ SHIPPING > See Shop Announcement for up to date turnaround times, as this can vary especially during holiday times. > All orders are shipped using USPS Priority (1-3 days)  Shipping times are in addition to turnaround time. > Each order will have a tracking number once shipped. ♥♥ We want you to love the item you receive ~ If you have any questions or concerns, please message us! ♥♥",TRUE,150,FALSE,FALSE
PRS-MM-T-SHR,Personalized Mama T-Shirt,,$15.00,,USD,Women's White T-Shirt Personalized with the year you became a mom.,TRUE,22,FALSE,FALSE
HD-MOM,Hood Mom,,$15.00,,USD,Hood Mom T-Shirt Custom Designed by Graceful Gifts & Personalization “just a good mom with a hood playlist”,TRUE,18,FALSE,FALSE
PRS-WDN-LV-SGN,Personalized Wooden Love Sign,,$28.00,$25.00,USD,18.5 x 5.5“ Wooden Sign Personalized with two names connected by a heart.,TRUE,16,FALSE,FALSE
NGG-AF-T-SHR,Engaged AF T-Shirt,,$15.00,,USD,Engaged AF T-Shirt Choose From Gray or White,TRUE,22,FALSE,FALSE
PRS-NGR-CRY-DSK,Personalized Engraved Acrylic Disk Keychains,,$8.00,$7.50,USD,"2” Personalized Engraved Acrylic Disk Keychains Have your Name, initials, a special Date, or a short note engraved. Fits 1-8 words. use the text box to specify your personalizations. You could even add Keychain accessories: wristlet, pom poms & tassels in the color of your choic.",TRUE,20,FALSE,FALSE
MNG-KYC,Monogrammed Engraved Keychain + Keychain Accessories,,$12.00,,USD,"2” Personalized Monogrammed Keychain with wristlet, pom pom & tassel in the color of your choice.",TRUE,44,FALSE,FALSE
CST-NM-KYC-TSS,Personalized Name Keychain + Tassel,,$8.00,$7.00,USD,Customize this 2” round keychain with your Name in the color of your choice with a matching tassel.,TRUE,66,FALSE,FALSE
PRS-KYC,Design & Customize a Keychain,,$8.00,$7.00,USD,"2” Round acrylic keychain with matching tassel. You may customize with UP TO 10 words. Keep in mind that the more words you add, the smaller the words will appear. Choose one color & one font from our options (shown in example photos) then ADD PERSONALIZATIONS in the text box. Lettering is personalized with permanent vinyl. **Be sure to spell check your text before sending",TRUE,67,FALSE,FALSE
XN-VLN-DAY-SWT,Valentine’s Day Sweet Stash Box,,$14.99,$12.00,USD,"8” x 5” Personalized Sweet Stash Box Filled to the brim with Valentine’s Day themed candy. These are personalized with a name & “sweet stash” boxes contain candy such as Reese’s Hearts, Sour Patch Hearts, Swedish Fish, Gummy Bears, Gummy Life Savors, Candy Bracelets, Conversation Hearts & Air Heads. Boxes are made to order and candy is stopped stored inside tiny ziplock bags when I package them to ensure the candy will still be fresh for Valentine’s Day.",TRUE,22,FALSE,FALSE
SPR-MOM-KYC,Sports Mom Keychains,,$7.00,$7.00,USD,"2” keychain with tassel Choose from Baseball Mom, Football Mom, Cheer Mom, Dance Mom, Gymnastics Mom, softball mom, basketball mom, swim mom, Soccer Mom or wrestling mom.",TRUE,44,FALSE,FALSE
DSG-YR-OWN-CST,Design Your Own Custom Tumbler Cup,,$10.00,,USD,"Design Your Own! You choose the TEXT, Font & Color",TRUE,30,FALSE,FALSE
VLN-KYC,Valentines Keychain + Wristlet,,$7.00,,USD,❤️ Keychain Personalized with 2 letters connected with a heart and anniversary date underneath. Keychain comes with wristlet in the color of your choice.,TRUE,20,FALSE,FALSE
XN-CST-MTH-KYC,Custom Mother’s Keychain,,$7.00,,USD,2” round Mother’s keychain Customized with kids name circling around a heart. Fits up to 5 names.,TRUE,20,FALSE,FALSE
PRS-TCH-CRD-CFF,Personalized Teacher Gift Heart Card + Cuff Bangel,,$8.00,$8.00,USD,"These Knot Bangle Heart Cards are such a unique gift for a special teacher. Gift them on the first day, teachers appreciation day, christmas, valentines day or the last day of school. The Heart card is Personalized with the Teachers Name and grade level then signed with the students name. Choose from silver, gold or rose gold finish for the knot bangle.",TRUE,66,FALSE,FALSE
BRD-PRT-TMB,Bridal Party Tumblers,,$14.00,$14.00,USD,Bridesmaid Dress Custom acrylic Tumbler cups with lids and straws. You choose the dress length and color for your cups then personalize with wedding roles and the wedding date.,TRUE,80,FALSE,FALSE
MNG-HRT-RNG-DSH,Monogrammed Heart Ring Dish,,$7.00,,USD,Personalized heart shaped ring dish. They are monogramed with your initials in the color you choose.,TRUE,18,FALSE,FALSE
XN-BRD-BBS-BRD,Bride’s Babes - Bridal Party T-Shirt,,$15.00,,USD,"These matching T-shirts would be cute for you and your bridesmaids to wear for your  bachelorette outings. The white T-shirt being for the bride, a special one for the maid of honor & as many as you need for the rest of your special ladies!",TRUE,60,FALSE,FALSE
MML-TDD-T-SHR1,#Momlife #Toddlerlife T-shirts,,$15.00,,USD,"These Mommy and me T-shirt were designed by me and they are the true definition of me and my daughter 😂So if you're a Millennial with a wild, miniature version of you running around and you're just trying to survive the day, these shirts were made for you! Price is Per shirt so be sure to add one in your size and one in toddler size.",TRUE,22,FALSE,FALSE
BRD-TT-BGS,Bridesmaids Tote Bags,,$13.00,,USD,"These canvas tote bags are perfect gifts for your special ladies on your wedding day, fill the bags with a cute robe, slippers and a personalized tumbler! Each tote is personalized with your bridesmaids names and wedding roles in your choice of color.",TRUE,33,FALSE,FALSE
PRS-BRD-TMB,Personalized Bridesmaid Tumblers,,$9.00,,USD,Acrylic Tumblers with lids and straws personalized with your bridesmaids names and Wedding roles in your choice of color.,TRUE,23,FALSE,FALSE
MTH-OF-THE-BRD,Mother of the Bride/Groom Tote Bags,,$13.00,,USD,Perfect gift to give the Mother of the Bride & Groom at your Bridal shower so that they will have a special bag ready for your wedding day. Or you could gift them on the wedding day. There are also “Bride Tribe” & “petal petrol” bags that match for the rest of your brutal party.,TRUE,16,FALSE,FALSE
BRD-PRP-BOX,Bridesmaid Proposal // Thank You Gift Box,,$18.00,$16.00,USD,"These gift boxes can be  used as proposal boxes -OR- Thank You boxes for the Day of the wedding. 7”x5” Box is personalized with a name on top in the color of your choice, filled with matching crinkle paper, A Knot Hair Tie, a wine bottle tag (legally I am not allowed to sell alcohol so the bottle of wine itself is not include. Tag will come with ribbon for you to attach to a bottle of wine) & Tie the KNOT bangle attached to a personalized heart shaped card. You may choose to add extra gifts to this box with the last drop down menu (extra fees apply) Our KNOT bangles are adjustable & come in 3 different finishes to choose from, Silver, Gold or Rose Gold. The heart shaped chards are customizable. You can choose one of our short, sweet notes or you may choose to come up with your own short, sweet note.",TRUE,66,FALSE,FALSE
BRD-PRP-THN-YOU,Bridesmaid Proposal // Thank You Box,,$20.00,$18.00,USD,"Personalized Gift Boxes can be used at Bridesmaid proposal boxes -or- Thank You Boxes for the day of your wedding. 7”x5” Personalized box, you choose the color of name on the front of box. Box includes personalized heart card, KNOT Bangle, Scrunchy & Diamond Pen. You may choose to add extra gifts to this box with the last drop down menu (extra fees will be added for each extra item) You may customize your heart card to say your own short note or choose from one of our pre-made sweet notes.Our Knot Bangles are adjustable and come in 3 different finishes:Silver, Gold & Rose Gold. Be sure to spell check all info that you add to text boxes as I will be copying and pasting most info.",TRUE,18,FALSE,FALSE
DRP-IN-DMN-TMB,Dripping in Diamonds Tumbler,,$12.00,,USD,Personalized Tumbler “dripping” in colorful diamonds and crystals and customized with the name of your choice. Tumbler comes with lid & straw.,TRUE,9,FALSE,FALSE
BRD-PRP-THN-YOU1,Bridesmaids Proposal // Thank You Gift Box,,$25.00,,USD,"Personalized Gift Boxes can be used aa Bridesmaid proposal boxes -or- Thank You Boxes for the day of your wedding. 7”x5” Personalized box, you choose the color of name on the front of box. Box includes personalized card with KNOT Earrings & KNOT Necklace, Knot Hair Tie with card that says “To have and to hold your hair back” , a Diamond Pen  personalized ceramic heart shaped ring dish.  You may choose to add extra gifts to this box with the last drop down menu (extra fees will be added for each extra item) You may customize your card to say your own short note or choose from one of our pre-made sweet notes. Be sure to spell check all info that you add to text boxes as I will be copying and pasting most info.",TRUE,18,FALSE,FALSE
DSG-YR-OWN-CST1,Customizable Monogramed Tumbler,,$8.00,,USD,"Design Your Own! You choose the Initials, Font & Color of Monogram.",TRUE,22,FALSE,FALSE
CST-MNG-TT-BAG,Customizable Monogram Tote Bag,,$12.00,,USD,"Customizable Monogram Tote Bag. You choose the initials, Font Style & Color of Monogram",TRUE,22,FALSE,FALSE
CST-MNG-TT-BAG111,Design & Customize Canvas Tote Bag,,$13.00,,USD,"Design & Customize a Canvas Tote Bag. You choose the Text, Font & Color.",TRUE,33,FALSE,FALSE
DSG-CST-CNV-TT,Design & Customize T-Shirt,,$15.00,,USD,"Design & Customize a white T-shirt. You choose the Text, Font, Color & Size.",TRUE,22,FALSE,FALSE
PRS-PST-SKN-TMB,Personalized Pastel Skinny Tumblers,,$14.50,,USD,Personalized Skinny Tumblers with cute heart pattern. Price is per tumbler. You add a name & choose from one of our pastel colors.,TRUE,22,FALSE,FALSE
DSG-CST-WD-SGN,Design & Customize Wood Sign,,$30.00,,USD,"Custom Design a 18”x6” wooden sign. You pick the wood finish, text, font style & color of text.",TRUE,22,FALSE,FALSE
MML-KDL-T-SHR,Mommy & Me T-Shirts,,$15.00,,USD,"Mommy & Me T-Shirts: ""Classy with a side of..."" ""Sassy""",TRUE,23,FALSE,FALSE
MOMNME-SNAK-SHIRTS,Mommy & Me T-Shirts,,$15.00,,USD,"Mommy & Me Black T-Shirts: ""Snack Dealer"" & ""Snack Stealer""",TRUE,22,FALSE,FALSE
MMM-ME-T-SHR1,Mommy (T-Shirt) & Me (Onesie),,$15.00,,USD,"Mommy & Me T-shirt & Onesie: ""It's the little things"" & ""little things""",TRUE,22,FALSE,FALSE
MOMNME-HIP-SHIRTS,Mommy (T-Shirt) & Me (Onesie),,$15.00,,USD,"Mommy & Me T-shirt & Onesie: ""HIP mama"" & ""HIP hugger""",TRUE,22,FALSE,FALSE
MMM-ME-T-SHR2,Sorry I'm Late Mommy & Me T-Shirts,,$15.00,,USD,"Mommy & Me Black T-Shirts: ""Sorry I'm Late"" & ""I'm the reason we're late""",TRUE,33,FALSE,FALSE
MMM-T-SHR-ME1,Mommy (T-Shirt) & Me (Onesie),,$15.00,,USD,"Mommy & Me T-shirt & Onesie: ""I Put my Baby on my Hip"" & ""When I Dip She Dips We Dip""",TRUE,22,FALSE,FALSE
PROPOSAL-HEART-CUFF,Personalized Bridesmaid Proposal Card + Cuff Bangle,,$8.00,,USD,"These adorable Personalized Heart Cards and Cuff Bangles make great affordable bridesmaid proposal gifts. The cuff bracelets are adjustable, NICKEL FREE and come in 3 different finishes for you to choose from: Silver, Gold or Rose Gold. You can also choose the color of the heart gift card and personalize them with the name of the person you are gifting them to and sign with your own name. You may choose to stick with one of the pre written messages we have to pick from or you can use the text box below to type out your own SHORT sweet note! I cant wait to personalize these cute little gits for you! :)",TRUE,17,FALSE,FALSE
BHN-VRY-BAD-T,Behind Every Bad ***** T-Shirt,,$15.00,,USD,Behind every bad bitch is a car seat T-shirt,TRUE,33,FALSE,FALSE
CHR-MOM-SH-T,Cheer Mom SH*T,,$15.00,,USD,“I can’t talk right now I’m doing cheer mom shit” T-shirt you pick the team colors,TRUE,22,FALSE,FALSE
